cetsid,name,sector,theme
SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SOC,Health & nutrition
SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",SOC,Health & nutrition
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",SOC,Health & nutrition
SH.STA.OWAD.ZS,Prevalence of overweight (% of adults),SOC,Health & nutrition
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),SOC,Health & nutrition
EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),SOC,Access to services
EG.ELC.ACCS.ZS,Access to electricity (% of population),SOC,Access to services
SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population),SOC,Access to services
SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),SOC,Access to services
IC.LGL.CRED.XQ,Strength of legal rights index (0=weak to 12=strong),GOV,Human rights
VA.EST,Voice and Accountability: Estimate,GOV,Human rights
GE.EST,Government Effectiveness: Estimate,GOV,Government effectiveness
RQ.EST,Regulatory Quality: Estimate,GOV,Government effectiveness
CC.EST,Control of Corruption: Estimate,GOV,Stability & rule of law
SM.POP.NETM,Net migration,GOV,Stability & rule of law
PV.EST,Political Stability and Absence of Violence/Terrorism: Estimate,GOV,Stability & rule of law
RL.EST,Rule of Law: Estimate,GOV,Stability & rule of law
IC.BUS.EASE.XQ,Ease of doing business rank (1=most business-friendly regulations),GOV,Economic environment
NY.GDP.MKTP.KD.ZG,GDP growth (annual %),GOV,Economic environment
IT.NET.USER.ZS,Individuals using the Internet (% of population),GOV,Economic environment
SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),GOV,Gender
SL.TLF.CACT.FM.ZS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),GOV,Gender
SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",GOV,Gender
SP.UWT.TFRT,Unmet need for contraception (% of married women ages 15-49),GOV,Gender
IP.PAT.RESD,"Patent applications, residents",GOV,Innovation
GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),GOV,Innovation
IP.JRN.ARTC.SC,Scientific and technical journal articles,GOV,Innovation
